RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4675,15689492,Benjamin,850,Germany,Male,41,1,176958.46,2,0,1,125806.3,0
6452,15722583,Benjamin,636,Spain,Female,29,6,157576.47,2,1,1,101102.39,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,,1,0,141075.51,0
4716,15738220,Bennet,800,Spain,Male,38,1,0,2,1,0,51553.43,0
1309,15662294,Bennett,710,France,Male,33,10,118327.17,2,1,1,192928.82,0
9419,15643794,Bennett,639,Spain,Female,27,2,0,1,1,1,82938.99,0
911,15599660,Bennett,604,France,Male,36,6,116229.85,,1,1,79633.38,0
3737,15607748,Bennett,498,Germany,Male,37,8,108432.88,2,1,1,14865.05,0
7405,15694677,Bennetts,733,France,Male,39,1,0,2,1,1,141841.31,0
9297,15702442,Benson,586,Germany,Female,56,9,100781.75,2,1,1,54448.41,0
1137,15614220,Benson,750,France,Male,22,5,0,2,0,1,105125.65,0
967,15589805,Benson,563,France,Female,34,6,139810.34,,1,1,152417.79,0
4711,15685653,Benson,585,Germany,Female,40,3,162261.01,2,1,0,137028.51,0
6396,15707918,Bentley,741,Germany,Female,36,0,127675.39,2,1,0,74260.16,0
9090,15676526,Bentley,608,France,Female,34,4,88772.87,1,1,1,168822.01,0
2036,15799825,Bentley,583,France,Female,,8,0,2,1,1,27431.62,0
1843,15747222,Bentley,745,Spain,Female,35,8,0,2,1,1,116581.1,0
7931,15606436,Bergamaschi,500,Spain,Male,38,7,0,2,0,0,192013.23,0
6074,15586039,Bergamaschi,471,Germany,Female,36,5,90063.74,2,1,1,96366.7,0
6921,15773394,Bergamaschi,644,France,Male,38,3,0,2,1,1,79928.41,0
4872,15575858,Bergamaschi,763,France,Male,40,3,0,2,1,0,134281.11,0
7521,15665087,Bergamaschi,595,Germany,Female,26,8,118547.72,1,1,1,151192.18,0
6604,15683213,Bergamaschi,554,France,Female,35,10,74988.59,2,0,1,190155.13,0
4659,15805909,Bergamaschi,700,Spain,Male,,8,159900.38,1,0,0,22698.56,0
6348,15754820,Bergamaschi,637,Germany,Male,35,8,147127.81,2,1,1,84760.7,0
6901,15806922,Bergamaschi,674,Spain,Female,41,4,126605.14,1,1,1,166694.93,0
9941,15791972,Bergamaschi,748,France,Female,20,7,0,2,0,0,10792.42,0
8934,15631162,Bergamaschi,631,France,Male,,10,0,2,0,1,196342.66,0
1227,15775572,Bergamaschi,531,Germany,Female,42,6,88324.31,2,1,0,75248.75,0
3701,15747345,Bergamaschi,678,France,Female,22,6,118064.93,2,1,1,195424.01,0
3703,15698335,Bergamaschi,504,France,Female,73,8,0,1,1,1,34595.58,0
3507,15806511,Berry,445,Spain,Male,45,10,0,2,0,1,90977.48,0
9027,15807593,Berry,546,Spain,Female,36,7,85660.96,1,0,0,134778.01,0
9165,15767488,Berry,680,Spain,Male,36,7,0,2,1,0,20109.21,0
8894,15612670,Berry,631,Spain,Female,46,10,0,2,1,1,129508.96,0
9156,15680666,Berry,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0
9321,15780215,Berry,636,France,Male,31,6,0,2,1,1,2382.61,0
2805,15751175,Bess,648,France,Female,44,2,0,2,1,1,58652.23,0
1602,15594404,Bevan,834,France,Female,49,8,160602.25,2,1,0,129273.94,0
1222,15697625,Bevan,791,France,Male,37,2,163789.49,2,1,0,75832.53,0
4891,15797113,Bevan,552,Spain,Female,,4,0,2,1,0,140286.69,0
9628,15689322,Bevan,641,Spain,Male,31,3,153316.14,1,1,0,59927.99,0
4010,15708513,Bevan,446,France,Female,,1,90217.07,1,1,0,191350.48,0
6538,15782364,Bevan,521,Spain,Female,39,3,146408.68,1,0,0,72993.67,0
9248,15650244,Bezrukov,786,Spain,Male,29,7,80895.44,2,1,0,64945.57,0
9597,15755084,Bezrukova,531,France,Male,37,7,121854.45,1,1,0,147521.35,0
9334,15714680,Bianchi,755,France,Female,78,5,121206.96,1,1,1,76016.49,0
5300,15792989,Bianchi,543,France,Female,71,1,104308.77,1,1,1,25650.04,0
375,15759537,Bianchi,717,Germany,Male,35,7,58469.37,,1,1,172459.39,0
363,15706365,Bianchi,648,France,Female,50,9,102535.57,,1,1,189543.19,0
5972,15786680,Bianchi,805,Spain,Male,37,5,0,2,1,0,21928.81,0
9147,15691323,Bianchi,672,Germany,Male,40,4,89025.88,2,1,0,188892.19,0
6434,15574369,Bianchi,415,Spain,Male,,5,167259.44,1,1,1,22357.25,0
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,,1,1,158338.39,0
5321,15591550,Bianchi,525,Spain,Male,36,3,77910.23,1,1,0,67238.01,0
3860,15694450,Bianchi,677,France,Male,42,5,99580.13,1,1,0,21007.96,0
8714,15578788,Bibi,786,Spain,Male,40,6,0,2,0,0,41248.8,0
2414,15604073,Bibi,815,Germany,Female,25,8,135161.67,1,1,1,136071.05,0
2492,15764174,Bidencope,612,Spain,Female,26,4,0,2,1,1,179780.74,0
3221,15674331,Bidwill,576,Germany,Male,30,7,132174.41,2,0,0,93767.03,0
8067,15695819,Bidwill,504,Germany,Male,,5,134740.19,2,1,0,181430.91,0
5676,15757897,Binder,766,France,Female,26,3,104258.8,1,1,1,428.23,0
8329,15687171,Birch,638,Spain,Male,34,5,146679.77,1,1,0,102179.86,0
2159,15685706,Bird,731,France,Female,40,7,118991.79,1,1,1,156048.64,0
951,15630328,Bird,635,France,Female,,8,130796.33,,1,1,43250.3,0
5341,15612667,Bird,680,Spain,Male,42,0,0,1,1,0,136377.21,0
6976,15644856,Bird,556,Spain,Male,38,2,115463.16,1,1,0,150679.65,0
6810,15688868,Birdsall,684,France,Female,26,5,87098.91,1,0,0,106095.82,0
6665,15667632,Birdseye,703,France,Female,42,7,0,2,0,1,72500.68,0
4802,15606310,Birk,823,France,Male,71,5,149105.08,1,0,1,162683.06,0
8860,15743456,Birnie,715,France,Female,,10,0,2,1,0,60907.49,0
5926,15783477,Biryukov,706,Germany,Female,39,8,112889.91,1,0,1,6723.66,0
5569,15594270,Biryukov,693,France,Male,38,7,198338.77,2,1,1,14278.18,0
2167,15780650,Biryukov,667,France,Male,40,9,0,1,1,1,96670.2,0
3715,15815428,Biryukova,823,France,Male,34,3,105057.33,1,1,0,9217.92,0
5468,15581237,Biryukova,573,Spain,Male,,1,160777.9,1,1,1,149536.15,0
7631,15748986,Bischof,705,Germany,Male,42,8,166685.92,2,1,1,55313.51,0
4213,15773512,Bischof,627,Spain,Female,25,4,0,1,1,1,194313.93,0
7383,15735106,Bishop,647,Spain,Male,28,6,149594.02,2,1,0,102325.19,0
8427,15704651,Bishop,514,France,Male,26,1,0,2,0,0,121551.93,0
5626,15663234,Bishop,508,France,Female,60,7,143262.04,1,1,1,129562.74,0
4935,15806913,Bishop,670,France,Female,54,2,95507.12,1,1,1,63213.31,0
8634,15801414,Bitter,767,France,Female,35,2,0,2,0,0,144251.38,0
8091,15601324,Black,697,France,Female,,1,0,2,1,1,87400.53,0
7621,15629133,Black,579,France,Female,27,9,0,2,1,0,126838.7,0
3488,15734044,Black,671,France,Female,31,7,41299.03,1,0,1,102681.32,0
815,15641655,Black,700,France,Female,26,2,0,,0,0,50051.42,0
386,15720910,Black,560,France,Female,66,9,0,,1,1,15928.49,0
3883,15568328,Black,488,France,Female,22,6,0,2,1,1,66393.89,0
8561,15599386,Black,627,Germany,Male,28,5,71097.23,1,1,1,130504.49,0
5253,15749947,Black,665,France,Female,44,7,0,2,1,1,66548.58,0
8667,15785920,Black,687,Germany,Male,35,1,125141.24,2,1,1,148537.07,0
7140,15805212,Black,806,France,Female,67,1,0,2,0,1,103945.58,0
3925,15732334,Black,653,France,Female,40,0,0,2,1,0,35795.85,0
7554,15792107,Black,719,Spain,Female,35,8,0,1,1,1,165162.4,0
1135,15732660,Black,769,France,Female,,2,0,1,1,1,57876.05,0
6886,15606849,Blackall,698,France,Female,27,1,94920.71,1,1,1,40339.9,0
1308,15638806,Blackburn,645,Spain,Male,49,2,0,2,0,0,10023.15,0
1517,15701333,Blackburn,646,France,Female,37,7,96558.66,1,0,0,163427.18,0
4969,15572158,Blackburn,604,Spain,Male,41,3,0,1,0,0,11819.84,0
3543,15636024,Blackburn,692,Spain,Female,34,4,109699.08,1,1,1,37898.91,0
949,15783659,Blackburn,659,France,Male,67,4,145981.87,,1,1,131043.2,0
2695,15721585,Blacklock,628,Germany,Male,29,3,113146.98,2,0,1,124749.08,0
3552,15580629,Blackwood,604,France,Male,,6,134837.58,1,1,0,192029.19,0
369,15684042,Blair,636,Germany,Male,34,2,40105.51,,0,1,53512.16,0
7988,15793331,Blair,812,France,Male,32,5,133050.97,2,1,0,89385.92,0
2013,15780124,Blair,841,France,Male,74,9,108131.53,1,0,1,60830.38,0
6460,15632125,Blake,606,Germany,Male,45,5,63832.43,1,1,1,93707.8,0
680,15668886,Blakey,684,Spain,Female,38,3,0,,1,0,44255.65,0
671,15576368,Bledsoe,624,Germany,Female,48,3,122388.38,,0,0,30020.09,0
3624,15627162,Blesing,695,Germany,Male,27,6,125552.96,1,1,0,105291.26,0
1531,15640953,Bligh,611,France,Female,26,2,107508.93,2,1,1,120801.65,0
2589,15663885,Blinova,741,France,Male,32,5,0,1,1,1,64839.23,0
8003,15753895,Blue,590,Spain,Male,37,1,0,2,0,0,133535.99,0
1081,15589195,Bluett,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0
2145,15613712,Boag,634,Spain,Male,34,1,0,2,1,0,61995.57,0
8752,15635531,Boag,575,Spain,Female,30,8,0,2,1,0,185341.63,0
9609,15638247,Boan,700,Spain,Male,44,9,0,2,1,0,142287.65,0
6697,15587299,Board,567,France,Female,48,3,0,1,1,0,55362.45,0
8926,15805463,Board,682,Germany,Male,32,2,105163.88,2,1,1,164170.46,0
5284,15799815,Bobrov,656,Germany,Female,23,4,163549.63,1,0,1,21085.12,0
1316,15734634,Bocharova,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0
6661,15765258,Bochsa,776,France,Female,29,5,0,2,1,1,143301.49,0
4553,15655648,Bock,610,France,Female,25,2,0,2,1,0,123723.83,0
3408,15797760,Bogdanov,632,France,Male,40,3,193354.86,2,1,0,149188.41,0
4341,15692631,Bogdanova,577,Spain,Female,44,8,115557,1,0,1,127506.76,0
1934,15815560,Bogle,666,Germany,Male,,7,105102.5,1,1,1,46172.47,0
3978,15813894,Bogle,620,Spain,Male,21,9,0,2,0,0,154882.79,0
2131,15757568,Bogolyubov,704,France,Female,45,6,0,1,1,1,137739.45,0
9323,15739042,Bogolyubov,767,France,Female,35,9,0,2,1,0,39511.61,0
7388,15690898,Bogolyubova,696,France,Male,44,8,161889.79,1,0,0,75562.47,0
3428,15715079,Bold,465,France,Male,41,9,117221.15,1,1,0,168280.95,0
9325,15778489,Bolton,780,Germany,Male,71,9,142550.25,2,1,1,122506.78,0
6234,15682914,Bolton,850,France,Male,34,2,72079.71,1,1,1,115767.93,0
6106,15605134,Bond,617,France,Female,34,0,131244.65,2,1,0,183229.02,0
3425,15814998,Bonham,688,Spain,Male,42,5,0,2,0,0,197602.29,0
8840,15774328,Boni,606,Germany,Male,40,1,144757.97,2,1,1,166656.18,0
4516,15761654,Boni,726,Spain,Male,30,8,134152.29,1,1,1,147822.44,0
9012,15717498,Boni,775,France,Male,42,6,133970.22,2,0,1,187839.9,0
8292,15742879,Boni,668,Spain,Male,38,1,147904.31,1,1,1,69370.05,0
4964,15652084,Boni,515,France,Male,40,0,109542.29,1,1,1,166370.81,0
7692,15791045,Boni,568,France,Female,38,3,132951.92,1,0,1,124486.28,0
5605,15804721,Boni,602,France,Male,49,0,191808.73,1,0,0,97640.2,0
9088,15791316,Boni,714,France,Male,35,3,0,2,1,1,95623.28,0
7114,15783859,Boni,733,France,Female,24,3,161884.99,1,1,1,9617.24,0
8624,15666197,Boni,430,Germany,Female,38,8,153058.64,1,1,0,99377.27,0
4,15701354,Boni,699,France,Female,39,1,0,,0,0,93826.63,0
1310,15690079,Boniwell,591,Spain,Male,30,8,124857.69,2,0,0,50485.7,0
6533,15732299,Boniwell,756,France,Male,67,4,0,3,1,1,93081.87,0
9386,15759244,Boone,687,Germany,Male,44,8,95368.14,2,1,1,1787.85,0
2230,15756125,Booth,757,Spain,Male,44,5,140856.16,2,1,0,158735.1,0
3655,15632365,Booth,542,Germany,Male,,8,142871.27,2,0,0,77737.86,0
4904,15628530,Booth,694,France,Male,42,3,156864.2,2,0,0,88890.75,0
293,15655774,Booth,583,France,Male,27,7,0,,1,0,51285.49,0
6632,15665177,Booth,613,France,Male,44,3,0,2,0,1,136491.72,0
6504,15587978,Boothby,455,Germany,Female,37,6,170057.62,1,0,1,54398.56,0
1656,15659105,Borchgrevink,669,France,Female,47,9,61196.54,1,1,0,58170.24,0
6367,15677324,Botts,683,Germany,Male,73,9,124730.26,1,1,1,51999.5,0
4499,15777759,Boucaut,570,France,Male,,2,131406.56,1,1,1,47952.45,0
2410,15735522,Boulger,654,Germany,Male,37,2,145610.07,2,0,0,186300.59,0
5400,15628904,Bowen,733,Spain,Male,35,8,102918.38,1,1,1,45959.86,0
3944,15671915,Bowen,649,France,Male,46,5,0,2,1,1,76946.6,0
2639,15698619,Bowhay,593,France,Male,43,9,0,2,1,1,76357.43,0
5208,15751022,Bowhay,777,Germany,Female,37,10,121532.17,2,1,1,73464.88,0
275,15800116,Bowman,712,Germany,Male,28,4,145605.44,,0,1,93883.53,0
2361,15670205,Boyd,518,Germany,Female,,5,110624.99,1,1,0,89327.67,0
384,15622993,Boyd,709,Germany,Male,28,8,124695.72,,1,0,145251.35,0
1201,15804602,Boyd,772,Germany,Male,30,6,99785.28,2,0,0,197238.03,0
3513,15657779,Boylan,806,Spain,Male,18,3,0,2,1,1,86994.54,0
1900,15806880,Boyle,627,Spain,Female,30,6,0,1,1,1,113408.47,0
8942,15810660,Boyle,774,Germany,Male,34,4,120875.23,2,0,1,113407.26,0
7007,15660390,Boyle,544,France,Female,33,6,0,2,1,1,124113.04,0
7987,15678067,Boyle,667,Spain,Male,45,3,0,2,0,0,163655.01,0
6712,15727499,Boyle,666,Germany,Female,36,3,129118.5,2,0,0,139435.12,0
609,15607170,Boyle,699,France,Male,35,5,0,,1,1,78397.24,0
7277,15653147,Boyle,594,France,Male,35,2,133853.27,1,1,1,65361.66,0
7439,15676156,Boyle,528,France,Female,32,4,85615.66,2,1,0,156192.43,0
9485,15622370,Boyle,813,Germany,Male,30,1,116416.94,1,0,1,85808.22,0
6236,15691457,Boyle,674,Spain,Male,36,2,0,2,1,1,182787.17,0
4117,15748068,Boyle,571,Spain,Female,31,3,0,2,1,1,194667.92,0
273,15796505,Boyle,811,Germany,Female,34,1,149297.19,,1,1,186339.74,0
8514,15740602,Boyle,674,Germany,Female,27,4,111568.01,1,0,1,22026.18,0
9531,15584452,Bozeman,667,France,Male,41,6,0,2,0,0,167181.77,0
3361,15726796,Brabyn,844,France,Male,38,7,111501.66,1,1,1,119333.38,0
7316,15593345,Bradbury,502,Germany,Female,33,6,125241.17,2,1,1,158736.07,0
7341,15578722,Bradley,689,France,Male,39,4,0,2,1,0,196112.45,0
9314,15757912,Bradley,722,Germany,Female,37,0,125977.81,1,0,0,160162.42,0
104,15776605,Bradley,528,Spain,Male,36,7,0,,1,0,60536.56,0
3394,15600626,Bradley,710,France,Male,30,6,0,2,1,1,8991.17,0
7926,15800482,Bradshaw,586,Spain,Female,33,7,0,2,1,1,168261.4,0
7930,15598892,Bradshaw,828,France,Male,30,4,73070.18,2,0,0,161671.15,0
5143,15778526,Bradshaw,719,Spain,Female,48,5,0,2,0,0,78563.66,0
1461,15657085,Gardiner,578,France,Male,23,10,88980.32,1,1,1,125222.36,0
3049,15679651,Gardiner,783,Spain,Female,37,1,136689.66,1,1,0,197890.65,0
4190,15759499,Gardiner,598,France,Female,32,4,111156.52,1,1,1,167376.26,0
6383,15575060,Gardner,797,France,Male,24,5,0,2,1,0,182257.61,0
7816,15735784,Gardner,583,France,Male,38,8,0,1,1,0,47848.56,0
7297,15607988,Garland,663,Germany,Female,37,8,155303.71,1,1,0,118716.63,0
3709,15679983,Garmon,565,France,Male,34,7,0,1,0,0,74593.84,0
5654,15569764,Garner,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0
1020,15600583,Garner,633,France,Male,31,1,0,1,1,0,48606.71,0
2118,15652540,Garnsey,683,France,Male,31,2,0,2,0,1,77326.78,0
3032,15638963,Garran,678,France,Female,22,4,174852.89,1,1,1,28149.06,0
5938,15697035,Garrett,740,Spain,Female,31,8,0,2,0,0,86657.48,0
9145,15731463,Gboliwe,818,Germany,Male,,10,105301.5,1,1,1,78941.59,0
4005,15738546,Gboliwe,530,Spain,Female,,4,0,2,0,1,147606.71,0
9470,15674573,Gearhart,713,France,Female,25,4,121172.97,1,1,1,56268.98,0
5287,15690540,Gearheart,684,Spain,Female,41,1,134177.06,1,0,0,177506.66,0
9641,15647203,Gebhart,750,France,Female,35,3,0,1,1,0,191520.5,0
741,15637414,Gell,618,France,Female,24,7,128736.39,,0,1,37147.61,0
4250,15712938,Genovese,531,France,Male,44,3,0,2,1,1,34416.79,0
3674,15606915,Genovese,764,France,Male,24,7,98148.61,1,1,0,26843.76,0
1165,15750776,Genovese,850,France,Female,36,0,164850.54,1,1,1,62722.44,0
7795,15714883,Genovese,508,France,Female,25,2,111395.53,1,0,1,48197.06,0
2951,15744919,Genovese,734,Spain,Female,37,0,152760.24,1,1,1,48990.5,0
3504,15782630,Genovese,543,France,Male,35,5,137482.19,1,0,0,62389.35,0
2627,15574324,Genovese,568,Germany,Female,,2,129177.01,2,0,1,104617.99,0
5710,15606158,Genovese,644,France,Female,39,9,0,1,1,0,3740.93,0
7462,15645571,Genovese,596,Spain,Male,32,4,0,2,0,1,146504.35,0
1022,15717164,Genovese,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0
7986,15678427,Genovese,696,Germany,Female,27,2,96129.32,2,1,1,5983.7,0
2508,15628007,Genovese,653,France,Male,33,1,0,2,0,0,53379.52,0
442,15611088,Genovese,790,France,Female,31,9,0,,1,0,84126.75,0
1508,15577274,Genovese,549,Germany,Female,43,3,134985.66,1,1,0,6101.41,0
2375,15726186,Genovese,639,Spain,Male,29,4,133434.57,2,1,0,97983.44,0
9788,15752626,Genovese,553,France,Male,32,7,64082.09,1,0,1,109159.58,0
9366,15753229,Genovese,802,France,Male,29,9,127414.55,1,1,1,134459.12,0
4393,15757140,Genovese,787,France,Male,51,0,58137.08,1,0,1,142538.31,0
1209,15616451,Genovese,697,France,Female,47,6,128252.66,1,1,1,168053.4,0
7116,15773421,Genovese,673,France,Female,42,4,0,2,1,0,121440.8,0
1033,15750243,Genovese,830,Spain,Male,40,4,0,2,0,1,81622.52,0
3234,15601550,Genovesi,595,Spain,Male,,6,85768.42,1,1,1,24802.77,0
8979,15765857,Genovesi,623,Spain,Male,41,2,142412.13,1,1,0,28778.98,0
9710,15682839,Genovesi,575,France,Female,,8,137936.94,1,1,1,84475.13,0
8027,15679743,Genovesi,607,France,Female,33,8,91301.72,1,0,1,130824.57,0
2902,15603246,Genovesi,498,France,Male,73,2,170241.7,2,1,1,165407.96,0
6956,15697042,Genovesi,738,Spain,Male,35,8,127290.61,1,1,0,16081.62,0
8450,15625716,Genovesi,637,France,Female,33,9,113913.53,1,0,1,65316.5,0
1868,15740164,Genovesi,715,France,Female,33,3,85227.84,1,1,1,68087.15,0
6968,15644934,Gentry,466,France,Male,26,9,105522.06,1,1,0,10842.46,0
7652,15776921,Geoghegan,431,Germany,Male,45,5,83624.55,2,0,0,36899.62,0
4518,15787051,Georg,750,Spain,Female,39,7,119565.92,1,1,0,87067.73,0
2822,15626385,George,714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0
9115,15605737,George,541,France,Male,36,5,0,2,1,0,124795.84,0
6175,15760641,Gerald,608,Germany,Male,26,1,106648.98,1,0,1,7063.6,0
3990,15714256,Gerasimov,666,France,Male,30,7,109805.3,1,0,1,163625.56,0
3074,15614420,Gerasimova,531,Germany,Female,32,0,109570.21,2,1,1,172049.84,0
1265,15732199,Gether,837,Spain,Male,31,9,104678.62,1,0,1,50972.6,0
3950,15717937,Gibbons,554,Germany,Male,43,5,99906.89,1,0,0,24983.39,0
2132,15792660,Gibbons,614,France,Male,38,2,116248.88,1,1,0,105140.92,0
9620,15779973,Gibbons,684,Germany,Male,35,3,99967.76,1,1,1,176882.08,0
2437,15592645,Gibbons,704,Spain,Male,37,4,0,2,0,0,25684.93,0
5704,15621063,Gibbons,516,France,Female,42,8,56228.25,1,1,0,46857.52,0
513,15782236,Gibbs,735,Spain,Male,34,5,0,,0,0,71095.41,0
7880,15665385,Gibney,657,France,Male,,6,76495.04,1,1,0,79071.89,0
1785,15607691,Gibson,658,France,Male,36,8,174060.46,1,1,1,94925.62,0
3690,15790829,Gibson,703,France,Female,45,5,0,2,1,0,131906.44,0
3446,15784097,Gibson,660,Germany,Male,,1,118402.25,2,1,0,14288.93,0
6270,15734626,Gibson,652,Spain,Female,36,1,0,2,1,1,19302.78,0
7058,15684512,Gibson,818,Germany,Female,,8,135290.42,2,1,1,63729.72,0
9125,15753639,Gibson,608,France,Male,,5,146093.39,2,0,0,160593.41,0
3023,15678168,Gibson,648,Spain,Female,27,7,0,2,1,1,163060.43,0
4480,15579112,Gibson,598,France,Male,,2,0,2,1,1,186116.54,0
2426,15630167,Gibson,684,Spain,Female,39,4,139723.9,1,1,1,120612.11,0
9404,15695465,Gibson,638,France,Female,,6,0,1,1,0,164247.51,0
4465,15710375,Gibson,641,France,Male,41,6,0,2,1,0,65396.79,0
2344,15765902,Gibson,706,Germany,Male,38,5,163034.82,2,1,1,135662.17,0
5733,15788686,Gibson,538,Spain,Male,40,8,0,2,1,1,25554.4,0
3779,15658486,Gidney,579,Spain,Female,59,3,148021.12,1,1,1,74878.22,0
4869,15661330,Gilbert,754,France,Male,37,6,0,1,1,1,116141.72,0
968,15720893,Gilbert,637,Spain,Female,34,9,0,,0,0,26057.08,0
6054,15677908,Gilbert,552,Spain,Male,42,4,0,2,0,0,195692.3,0
7320,15762045,Gilchrist,474,Germany,Female,,5,142688.57,2,1,1,110953.33,0
3198,15747043,Giles,599,Spain,Male,36,4,0,2,0,0,13210.56,0
3494,15765461,Giles,632,Spain,Male,47,3,0,2,1,0,178822.32,0
9863,15651958,Giles,756,France,Male,27,8,0,2,1,1,157932.75,0
1773,15756471,Giles,656,Germany,Male,27,4,118627.16,2,1,1,160835.3,0
6667,15798709,Gill,588,Spain,Male,32,3,109109.33,1,0,1,4993.94,0
